Complete Dictionary
---------------------------------
Word                | Count
fountains           | 1
frankly             | 2
freeman             | 1
friend              | 3
friendly            | 1
friends             | 1
from                | 33
full                | 2
gains               | 1
gardens             | 1
gave                | 1
general             | 21
generally           | 1
generals            | 3
generations         | 1
genius              | 2
gently              | 1
genuineness         | 1
ghosts              | 1
gift                | 2
give                | 3
given               | 1
gives               | 1
giving              | 1
glad                | 1
glaucon             | 1
glorious            | 1
go                  | 5
goal                | 1
goats               | 1
god                 | 10
gods                | 4
going               | 1
golden              | 3
good                | 28
goodness            | 1
grace               | 1
grated              | 1
grater              | 1
great               | 3
greater             | 1
greatest            | 2
greatly             | 2
ground              | 1
guided              | 1
had                 | 9
hair                | 2
hand                | 1
handle              | 1
hang                | 3
happening           | 1
happens             | 1
harp                | 1
harpplayers         | 1
has                 | 16
have                | 46
he                  | 86
head                | 1
heads               | 1
hear                | 8
hearers             | 1
hearing             | 1
heart               | 1
heaven              | 3
hecamede            | 1
hector              | 1
hecuba              | 1
heed                | 1
held                | 1
hellas              | 1
hellenes            | 1
hellenic            | 1
help                | 2
heraclea            | 1
heraclides          | 1
here                | 2
heroes              | 1
herself             | 1
hesiod              | 7
highest             | 1
him                 | 21
himis               | 1
himself             | 11
his                 | 35
hold                | 1
holding             | 1
holds               | 1
holiday             | 1
holy                | 3
home                | 3
homer               | 53
homeric             | 1
homeridae           | 1
honey               | 1
honeyed             | 1
honour              | 2
hope                | 1
horn                | 1
horrors             | 1
horse               | 2
horseman            | 3
horsemanship        | 1
horserace           | 1
horses              | 2
house               | 1
how                 | 6
however             | 1
huge                | 1
human               | 3
hymns               | 1
i                   | 84
iambic              | 1
ideas               | 4
idiotic             | 1
if                  | 19
il                  | 4
iliad               | 2
ill                 | 1
illustration        | 1
imagination         | 1
imagine             | 1
imitation           | 1
immediately         | 1
imparts             | 1
impels              | 1
in                  | 108
inability           | 1
incapable           | 3
incomparably        | 1
indeed              | 7
indicate            | 1
individual          | 1
inferior            | 4
influence           | 2
infuriated          | 1
